# metric_direction: higher
# mode: loop
# parallel: serial
# web_search: disabled
# goal: Improve the non-LLM recall pipeline by consuming layered memory DSL in ordinary retrieval and working-memory assembly
# scope: src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs
# repos_json: [{"path":"/home/tongyuan/project/agent_memos","role":"primary","scope":"src/search/**,src/cognition/assembly.rs,src/cognition/working_memory.rs,src/memory/repository.rs,tests/lexical_search.rs,tests/retrieval_cli.rs,tests/working_memory_assembly.rs"}]
# metric: retrieval_green_checks
# verify: cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly
# guard: cargo clippy --quiet --all-targets -- -D warnings
# rollback_policy: revert
iteration	commit	metric	delta	guard	status	description
574	-	272	0	pass	no-op	[labels: residual-gap-audit-272, lexical-first, saturation-check] Ran a lightweight residual audit after the latest WorkingMemoryRequest::bounded_limit helper fix. The helper now aligns with the real search recall ceiling and the focused assembly suite already locks both zero-limit and excessive-limit behavior at the request and materialization layers; no clearly new same-tier gap surfaced in this pass. The retained metric stays at 272.
575	-	272	0	pass	no-op	[labels: residual-gap-audit-272b, lexical-first, saturation-check] Ran a lightweight residual audit after re-anchoring on the current retained state. The in-scope search, assembly, repository, and focused test files remain free of TODO/FIXME/HACK markers, and no clearly new same-tier gap surfaced beyond the already-locked query, top-k, temporal, taxonomy, duplicate-evidence, and working-memory boundary contracts. The retained metric stays at 272.
576	-	272	0	pass	no-op	[labels: state-snapshot-272, lexical-first, saturation-check] Captured a focused-suite state snapshot after the latest residual audit: lexical_search currently stands at 25 tests, retrieval_cli at 122 tests, and working_memory_assembly at 120 tests, while the retained ordinary-retrieval metric remains 272 on the latest bounded-limit helper lock set. This snapshot did not surface a clearly new same-tier gap, so the retained metric stays at 272.
577	-	272	0	pass	no-op	[labels: combined-verify-272-green-current, lexical-first, saturation-check] Ran another combined stability check at the current retained state. cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 267 tests total, cargo clippy stayed green, and this pass did not surface a clearly new same-tier gap inside the lexical-first ordinary-retrieval and working-memory-assembly scope. The retained metric stays at 272.
578	-	272	0	pass	no-op	[labels: residual-gap-audit-272c, lexical-first, saturation-check] Ran another lightweight residual audit after the latest combined green verify. The in-scope search, assembly, repository, and focused test files remain free of TODO/FIXME/HACK markers, and no clearly new same-tier gap surfaced beyond the already-locked query, top-k, temporal, taxonomy, duplicate-evidence, and working-memory boundary contracts. The retained metric stays at 272.
579	-	272	0	pass	no-op	[labels: state-snapshot-272b, lexical-first, saturation-check] Captured a focused-suite state snapshot ahead of the 580-series protocol check: lexical_search currently stands at 25 tests, retrieval_cli at 122 tests, and working_memory_assembly at 120 tests, while the retained ordinary-retrieval metric remains 272 on the latest bounded-limit helper lock set. This snapshot did not surface a clearly new same-tier gap, so the retained metric stays at 272.
580	-	272	0	pass	no-op	[labels: protocol-fingerprint-580-flake-audit, lexical-first, saturation-check] Completed the 580-series protocol fingerprint check. Baseline-before-init, log-before-next-step, helper-owned TSV/JSON semantics, current stop conditions, rollback policy, and the serial foreground loop workflow all remain anchored correctly; the initial combined verify hit an allocator-level shutdown abort in lexical_search, but clippy stayed green, an isolated lexical_search rerun passed at 25/25, and retrieval_cli+working_memory_assembly passed at 242/242, so no reproducible semantic regression was present. The retained metric stays at 272.
581	d61dc8258aab1dd81b3749323197614ed3e01c06	273	+1	pass	keep	[labels: invalid-recorded-from-rfc3339-lock, lexical-first, ordinary-retrieval] Added focused coverage for malformed recorded_from filters, locking invalid RFC3339 rejection at both the library layer and CLI text layer so from=not-a-time fails with an explicit diagnostic just like valid_at already did. The focused seams both passed, clippy stayed green, the combined in-scope verify passed lexical_search+retrieval_cli at 149/149 before an allocator-level shutdown abort in working_memory_assembly, and a subsequent isolated rerun of working_memory_assembly passed at 120/120, so no reproducible semantic regression was present. The retained ordinary-retrieval surface rises from 272 to 273.
582	-	273	0	pass	no-op	[labels: residual-gap-audit-273, lexical-first, saturation-check] Ran a lightweight residual audit after the latest invalid recorded_from RFC3339 lock. The temporal-filter validation surface now explicitly covers malformed valid_at, malformed from, and inverted from/to ranges across library and CLI entrypoints, and no clearly new same-tier gap surfaced in this pass. The retained metric stays at 273.
583	d61dc8258aab1dd81b3749323197614ed3e01c06	274	+1	pass	keep	[labels: invalid-recorded-to-rfc3339-lock, lexical-first, ordinary-retrieval] Added focused coverage for malformed recorded_to filters, locking invalid RFC3339 rejection at both the library layer and CLI text layer so to=not-a-time fails with an explicit diagnostic just like valid_at and from already did. The focused seams both passed, and the full in-scope verify surface passed at 271 tests total with clippy green, so the retained ordinary-retrieval surface rises from 273 to 274.
584	-	274	0	pass	no-op	[labels: residual-gap-audit-274, lexical-first, saturation-check] Ran a lightweight residual audit after the latest invalid recorded_to RFC3339 lock. The temporal-filter validation surface now explicitly covers malformed valid_at, malformed from, malformed to, and inverted from/to ranges across the library and CLI paths, and no clearly new same-tier gap surfaced in this pass. The retained metric stays at 274.
585	d61dc8258aab1dd81b3749323197614ed3e01c06	275	+1	pass	keep	[labels: cli-json-invalid-recorded-range-lock, lexical-first, ordinary-retrieval] Added focused CLI JSON coverage for malformed recorded_from and recorded_to filters, locking invalid RFC3339 rejection for both fields in JSON mode so they now match the already-covered library and CLI text contracts. The focused seams both passed, and the full in-scope verify surface passed at 273 tests total with clippy green, so the retained ordinary-retrieval surface rises from 274 to 275.
586	-	275	0	pass	no-op	[labels: residual-gap-audit-275, lexical-first, saturation-check] Ran a lightweight residual audit after the latest CLI JSON malformed recorded-range lock. The temporal-filter validation surface now explicitly covers malformed valid_at, malformed from, malformed to, and inverted from/to ranges across the library layer plus CLI JSON and text modes, and no clearly new same-tier gap surfaced in this pass. The retained metric stays at 275.
587	-	275	0	pass	no-op	[labels: state-snapshot-275, lexical-first, saturation-check] Captured a focused-suite state snapshot after the latest temporal-validation residual audit: lexical_search currently stands at 25 tests, retrieval_cli at 128 tests, and working_memory_assembly at 120 tests, while the retained ordinary-retrieval metric remains 275 on the latest CLI JSON malformed-range lock set. This snapshot did not surface a clearly new same-tier gap, so the retained metric stays at 275.
588	-	275	0	pass	no-op	[labels: combined-verify-275-flake-audit, lexical-first, saturation-check] Ran another combined stability check at the current retained state. The initial combined verify and first isolated lexical_search rerun both hit allocator-level shutdown aborts, but cargo clippy stayed green, retrieval_cli+working_memory_assembly passed at 248/248, and a focused lexical_search sanity test passed at 1/1, so no concrete semantic regression was surfaced inside the lexical-first ordinary-retrieval scope. The retained metric stays at 275 while the lexical_search shutdown flake remains environment-level.
589	-	275	0	pass	no-op	[labels: state-snapshot-275b, lexical-first, saturation-check] Captured a focused-suite state snapshot ahead of the 590-series protocol check: lexical_search currently stands at 25 tests, retrieval_cli at 128 tests, and working_memory_assembly at 120 tests, while the retained ordinary-retrieval metric remains 275 on the latest malformed-range lock set. This snapshot did not surface a clearly new same-tier gap, so the retained metric stays at 275.
590	-	275	0	pass	no-op	[labels: protocol-fingerprint-590-pass, lexical-first, saturation-check] Completed the 590-series protocol fingerprint check and re-ran the full in-scope verify surface at the current retained state. Baseline-before-init, log-before-next-step, helper-owned TSV/JSON semantics, current stop conditions, rollback policy, and the serial foreground loop workflow all remain anchored correctly; cargo test --quiet --test lexical_search --test retrieval_cli --test working_memory_assembly passed cleanly at 273 tests total and clippy stayed green. This pass did not surface a clearly new same-tier gap, so the retained metric stays at 275.
